fechas,INPC,Inflación
1984-04-01,0.358155549984224,0.6906421865045373
1984-05-01,0.370031685863033,0.6740947012522631
1984-06-01,0.38342337604799,0.6713900405724227
1984-07-01,0.395992705756055,0.6448559326733423
1984-08-01,0.407248838613348,0.6284051742300298
1984-09-01,0.41938043776519,0.6268455448435313
1984-10-01,0.434033653996634,0.6296152792588021
1984-11-01,0.448929413209177,0.5920429079394314
1984-12-01,0.46799581549372,0.5915660073903504
1985-01-01,0.502711446516467,0.6075052439916933
1985-02-01,0.523596221785414,0.5903548764143047
1985-03-01,0.543885399603342,0.5842662884666183
1985-04-01,0.560621062165695,0.5653005019477966
1985-05-01,0.573902240862582,0.5509543176662217
1985-06-01,0.588275593431847,0.5342715916157843
1985-07-01,0.608762823669541,0.5373081746726913
1985-08-01,0.635376851866098,0.560168603622073
1985-09-01,0.660752314213595,0.5755439565436966
1985-10-01,0.685852223116624,0.580182128277875
1985-11-01,0.717495124989483,0.5982359450686487
1985-12-01,0.766340130588527,0.637493552757654
1986-01-01,0.834092231384849,0.6591868698528374
1986-02-01,0.871174477437797,0.6638288077541388
1986-03-01,0.911666716794128,0.676211050083364
1986-04-01,0.95926311145802,0.7110721950979857
1986-05-01,1.01257009870861,0.7643598972304146
1986-06-01,1.07756664433635,0.8317378051503144
1986-07-01,1.13133289250856,0.858413241611957
1986-08-01,1.22153124327409,0.9225302899947643
1986-09-01,1.29481166937316,0.9596021709196749
1986-10-01,1.36882402945339,0.9958002370149521
1986-11-01,1.46130432434191,1.0366749172871796
1986-12-01,1.57673462586393,1.057486699349861
1987-01-01,1.70440129279554,1.043420653811523
1987-02-01,1.82738639011058,1.0976124042167634
1987-03-01,1.94815269938473,1.1369132639122776
1987-04-01,2.11860645972715,1.208577015441572
1987-05-01,2.27832505884218,1.2500418111771836
1987-06-01,2.4431457328032,1.2672804003764244
1987-07-01,2.64102152651602,1.334433608360801
1987-08-01,2.85687154864099,1.3387625690061524
1987-09-01,3.04508139480287,1.351756218166496
1987-10-01,3.29884463353191,1.4099844556712169
1987-11-01,3.56051142266738,1.4365297244096205
1987-12-01,4.08639245860103,1.591680547614028
1988-01-01,4.71824593565043,1.7682717418687326
1988-02-01,5.11178304007227,1.7973192028440916
1988-03-01,5.37354742558597,1.7582783563542304
1988-04-01,5.53894073680059,1.6144264364765206
1988-05-01,5.64610868821594,1.4781839914824229
1988-06-01,5.76129213653915,1.3581450992400677
1988-07-01,5.8574565431644,1.2178753502594253
1988-08-01,5.91134334273018,1.0691666538323008
1988-09-01,5.94513902207915,0.9523744200157978
1988-10-01,5.99048648308192,0.8159347130780761
1988-11-01,6.07065434654802,0.7049950487169481
1988-12-01,6.19731638571804,0.516573958204612
1989-01-01,6.34902379296307,0.3456322284920976
1989-02-01,6.43518354250932,0.258892150168083
1989-03-01,6.50494489882881,0.2105494533938097
1989-04-01,6.60222444470371,0.19196517139796954
1989-05-01,6.69309876915004,0.18543569363432288
1989-06-01,6.77438463671044,0.17584466750888672
1989-07-01,6.84214821760472,0.16810908748259457
1989-08-01,6.90733277574674,0.16848783352119723
1989-09-01,6.97339279500195,0.17295706107192022
1989-10-01,7.07652501522327,0.1812938790878662
1989-11-01,7.17585543715893,0.1820563365198622
1989-12-01,7.4180295787322,0.1969744833146394
1990-01-01,7.77603730172787,0.22476109009804435
1990-02-01,7.95211985377577,0.23572541501666944
1990-03-01,8.09230991966013,0.24402436077777057
1990-04-01,8.21547154939074,0.24434902481710896
1990-05-01,8.35883767567237,0.2488740961361704
1990-06-01,8.54293858947202,0.2610648859791296
1990-07-01,8.69873483372649,0.2713455711679569
1990-08-01,8.84695044160481,0.280805591511172
1990-09-01,8.9730613687053,0.28675691051514773
1990-10-01,9.10205988764724,0.2862329841365032
1990-11-01,9.34372310267594,0.3021058164426056
1990-12-01,9.63821395386141,0.29929570266133365
1991-01-01,9.88387989480137,0.27106899199224865
1991-02-01,10.0564247219094,0.26462187527700287
1991-03-01,10.1998396437894,0.2604361109562874
1991-04-01,10.3066875511982,0.2545460706954241
1991-05-01,10.4074416711108,0.2450823996021243
